profile_image_url,description,id,protected,verified,username,location,url,pinned_tweet_id,name,created_at,public_metrics.followers_count,public_metrics.following_count,public_metrics.tweet_count,public_metrics.listed_count,entities.url.urls,entities.description.mentions,entities.description.urls,entities.description.hashtags,screenName,party
https://pbs.twimg.com/profile_images/694843011436539905/IzO_I59u_normal.jpg,"Cimseillère municipale à :Meyrin Psychologue FSP, Secrétaire générale Association Genevoise des Psychologues. Intérêt pour droits de l'homme. Députée 2009-2013.",599505796,False,False,esterhartmannge,,,,Esther Hartmann,2012-06-04T19:37:32.000Z,325.0,432.0,116.0,13.0,,,,,esterhartmannge,Green
https://pbs.twimg.com/profile_images/617304757615624193/cL1qd1ax_normal.jpg,,3127901095,False,False,fahmarco,,,,Marco Fäh,2015-04-01T20:14:58.000Z,19.0,57.0,117.0,2.0,,,,,fahmarco,Green
https://pbs.twimg.com/profile_images/1207577228420235265/z12mvAGf_normal.jpg,"Conseiller national @ParlCH. Président Comm. science, éducation et culture. Membre Comm. de sécurité. Comité directeur @swisscycling. Conseil @uniNeuchatel.",18983525,False,False,ffivaz,"La Chaux-de-Fonds, Switzerland",https://t.co/VFHhXGvcI5,,Fabien Fivaz,2009-01-14T17:16:17.000Z,2329.0,927.0,6873.0,152.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/VFHhXGvcI5', 'expanded_url': 'https://www.parlament.ch/fr/biografie/fabien-fivaz/4260', 'display_url': 'parlament.ch/fr/biografie/f…'}]","[{'start': 20, 'end': 27, 'username': 'ParlCH'}, {'start': 119, 'end': 132, 'username': 'swisscycling'}, {'start': 142, 'end': 155, 'username': 'uniNeuchatel'}]",,,ffivaz,Green
https://pbs.twimg.com/profile_images/1524880682320814104/BGIM2joS_normal.jpg,Nationalrätin BL | Vize-Präsidentin @grueneCH,2951837405,False,True,flobrenzikofer,,https://t.co/V0HU81Tdds,,Florence Brenzikofer,2014-12-30T20:46:16.000Z,1827.0,622.0,1634.0,84.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/V0HU81Tdds', 'expanded_url': 'http://www.florencebrenzikofer.ch', 'display_url': 'florencebrenzikofer.ch'}]","[{'start': 36, 'end': 45, 'username': 'grueneCH'}]",,,flobrenzikofer,Green
https://pbs.twimg.com/profile_images/1551295189737668609/UaeXmH3T_normal.jpg,"Umweltwissenschafter ETH, Grossrat, alt Nationalrat, Co-Präsident WWF Aargau, Präsident Fussverkehr Aargau, Vater, engagiert für die Nachhaltigkeit",182760916,False,False,frickerjonas,Baden (CH),https://t.co/PIRrkuxRqf,,Jonas Fricker,2010-08-25T10:00:39.000Z,2617.0,1287.0,3987.0,115.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/PIRrkuxRqf', 'expanded_url': 'http://www.jonasfricker.ch', 'display_url': 'jonasfricker.ch'}]",,,,frickerjonas,Green
https://pbs.twimg.com/profile_images/1280786954267897857/6JMUt6b4_normal.jpg,Grossrätin BastA!,3236860221,False,False,heidimueck,"Basel, Klybeck/Kleinhüningen",https://t.co/QMQ8jNZB9y,,Heidi Mück,2015-05-05T20:56:15.000Z,1392.0,674.0,2842.0,37.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/QMQ8jNZB9y', 'expanded_url': 'http://www.heidimueck.ch', 'display_url': 'heidimueck.ch'}]",,,,heidimueck,Green
https://pbs.twimg.com/profile_images/983707656027365376/li6v1vXv_normal.jpg,"Deine persönliche Optimistin, Weltverbessererin und Feministin",353099559,False,False,irinastudhalter,Luzern,https://t.co/9zObrJLBvi,839714113366392832,Irina Studhalter,2011-08-11T15:06:08.000Z,1136.0,582.0,3365.0,63.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/9zObrJLBvi', 'expanded_url': 'http://www.irinastudhalter.ch', 'display_url': 'irinastudhalter.ch'}]",,,,irinastudhalter,Green
https://pbs.twimg.com/profile_images/574846555221401600/ZT8X7_hr_normal.jpeg,"Geograf, Solarressourcenexperte, Grossrat",3081163757,False,False,janremund,Köniz,https://t.co/t3P2q0zlwj,,Jan Remund,2015-03-09T08:14:56.000Z,562.0,252.0,632.0,22.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/t3P2q0zlwj', 'expanded_url': 'http://www.janremund.ch', 'display_url': 'janremund.ch'}]",,,,janremund,Green
https://pbs.twimg.com/profile_images/976789930226651136/0ZFTEk8K_normal.jpg,"Député au Grand Conseil Genève. Prés. de @Monnaieleman, Directeur au forum Démocratique Mondial (fDM). Pour un transition écologique et solidaire.",153567833,False,False,jeanrossiaud,"Genève, Suisse",https://t.co/n9DZeQDw6R,1306824576735772672,Jean Rossiaud,2010-06-08T22:15:52.000Z,615.0,504.0,1160.0,26.0,"[{'start': 0, 'end': 23, 'url': 'https://t.co/n9DZeQDw6R', 'expanded_url': 'http://www.jeanrossiaud.ch', 'display_url': 'jeanrossiaud.ch'}]","[{'start': 41, 'end': 54, 'username': 'Monnaieleman'}]",,,jeanrossiaud,Green
https://pbs.twimg.com/profile_images/963763702729248769/aX4XPGZJ_normal.jpg,Doc & Dog Lover,400170885,False,False,jolandaoberle,,,,Jolanda Oberle,2011-10-28T16:17:34.000Z,95.0,120.0,751.0,13.0,,,,,jolandaoberle,Green
https://pbs.twimg.com/profile_images/1162307142415769600/1DkAKwIi_normal.jpg,Nationalratspräsidentin🇨🇭- Grüne Nationalrätin - Präsidentin ArbeitAargau - weil wir nur eine Erde haben,2977817361,False,False,kaelinirene,,,,Irène Kälin,2015-01-14T10:33:18.000Z,4870.0,293.0,1303.0,113.0,,,,,kaelinirene,Green
