Position,Track Name,Artist,Streams
140,you broke me first,Tate McRae,5805742
141,Take Me To Church,Hozier,5797583
142,Sky,Playboi Carti,5770744
143,Mr. Brightside,The Killers,5723716
144,Counting Stars,OneRepublic,5712316
145,All of Me,John Legend,5695243
146,goosebumps,Travis Scott,5693648
147,Like I Can,Sam Smith,5690656
148,Bohemian Rhapsody - Remastered 2011,Queen,5680100
149,Sad Girlz Luv Money Remix (feat. Kali Uchis),Amaarae,5666450
150,Without Me,Eminem,5651509
151,Say You Won't Let Go,James Arthur,5643079
152,Careless Whisper,George Michael,5640994
153,Heartbreak Anniversary,Giveon,5630130
154,The Real Slim Shady,Eminem,5624301
155,Love In Slow Motion,Ed Sheeran,5620753
156,masquerade,Siouxxie,5600068
157,favorite crime,Olivia Rodrigo,5599912
158,Somebody That I Used To Know,Gotye,5592587
159,Gangsta's Paradise,Coolio,5577640
160,Set Fire to the Rain,Adele,5566184
161,Highway to Hell,AC/DC,5548719
162,Talking to the Moon,Bruno Mars,5543524
163,Jocelyn Flores,XXXTENTACION,5543262
164,Nota de Repúdio - Ao Vivo,Gusttavo Lima,5536554
165,Memories,Maroon 5,5520790
166,Loco,Justin Quiles,5505684
167,Infinity,Jaymes Young,5503350
168,Tell It To My Heart,MEDUZA,5490070
169,Bala Love,Mc Anjim,5448765
170,Photograph,Ed Sheeran,5440249
171,Riptide,Vance Joy,5435427
172,"jealousy, jealousy",Olivia Rodrigo,5414105
173,Oh Na Na,Camila Cabello,5412180
174,Sexo Virtual,Rauw Alejandro,5392902
175,Every Breath You Take,The Police,5387303
176,No Role Modelz,J. Cole,5377676
177,Levitating,Dua Lipa,5345956
178,Thunder,Gabry Ponte,5340560
179,Mahvettim,cakal,5314688
180,A-O-K,Tai Verdes,5308633
181,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,5274791
182,Wildest Dreams (Taylor's Version),Taylor Swift,5243925
183,Somebody's Watching Me,Rockwell,5237313
184,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,5230105
185,Wake Me Up,Avicii,5224874
186,911 - Remix,Sech,5175238
187,Head & Heart (feat. MNEK),Joel Corry,5174940
